Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2015-06-26,58.2,58.2,58.2,58.2,0.0,,,4248.0,,,
2015-06-25,58.2,58.2,58.2,58.2,0.1,,,4248.0,,,
2015-06-24,58.1,58.1,58.1,58.1,-0.05,,,4248.0,,,
2015-06-23,58.15,58.15,58.15,58.15,-0.15,,,4248.0,,,
2015-06-22,58.3,58.3,58.3,58.3,0.3,,,4248.0,,,
2015-06-19,58.0,58.0,58.0,58.0,0.0,,,4248.0,,,
2015-06-18,58.0,58.0,58.0,58.0,0.0,,,4248.0,,,50.0
2015-06-17,58.0,58.0,58.0,58.0,0.15,,,4248.0,,,10.0
2015-06-16,57.85,57.85,57.85,57.85,-0.05,,,4248.0,,,
2015-06-15,57.9,57.9,57.9,57.9,0.15,,,4233.0,,,15.0
2015-06-12,57.75,57.75,57.75,57.75,0.45,,,4233.0,,,
2015-06-11,57.3,57.3,57.3,57.3,0.5,,,4233.0,,,
2015-06-10,56.8,56.8,56.8,56.8,0.05,,,4233.0,,,
2015-06-09,56.75,56.75,56.75,56.75,-0.05,,,4233.0,,,15.0
2015-06-08,56.8,56.8,56.8,56.8,0.0,,,4233.0,,,30.0
2015-06-05,56.8,56.8,56.8,56.8,-0.1,,,4248.0,,,20.0
2015-06-04,56.9,56.9,56.9,56.9,-0.5,,,4258.0,,,65.0
2015-06-03,57.4,57.4,57.4,57.4,-0.8,,,4258.0,,,10.0
2015-06-02,58.2,58.2,58.2,58.2,0.55,,,4258.0,,,30.0
2015-06-01,57.65,57.65,57.65,57.65,-0.5,,,4248.0,,,30.0
2015-05-29,58.85,58.85,58.85,58.85,0.05,,,4555.0,,,
2015-05-28,58.8,58.8,58.8,58.8,0.0,,,4555.0,,,
2015-05-27,58.8,58.8,58.8,58.8,0.05,,,4555.0,,,
2015-05-26,58.75,58.75,58.75,58.75,0.0,,,4555.0,,,
2015-05-25,58.75,58.75,58.75,58.75,0.0,,,4555.0,,,
2015-05-22,58.75,58.75,58.75,58.75,0.0,,,4550.0,,,20.0
2015-05-21,58.75,58.75,58.75,58.75,-0.15,,,4565.0,,,25.0
2015-05-20,58.9,58.9,58.9,58.9,0.0,,,4565.0,,,
2015-05-19,58.9,58.9,58.9,58.9,-0.15,,,4565.0,,,5.0
2015-05-18,59.05,59.05,59.05,59.05,0.0,,,4565.0,,,
2015-05-15,59.05,59.05,59.05,59.05,-0.1,,,4565.0,,,
2015-05-14,59.15,59.15,59.15,59.15,-0.2,,,4565.0,,,
2015-05-13,59.35,59.35,59.35,59.35,0.0,,,4565.0,,,
2015-05-12,59.35,59.35,59.35,59.35,-0.15,,,4605.0,,,80.0
2015-05-11,59.5,59.5,59.5,59.5,-0.05,,,4620.0,,,15.0
2015-05-08,59.55,59.55,59.55,59.55,-0.1,,,4615.0,,,15.0
2015-05-07,59.65,59.65,59.65,59.65,-0.35,,,4615.0,,,15.0
2015-05-06,60.0,60.0,60.0,60.0,-0.15,,,4625.0,,,30.0
2015-05-05,60.15,60.15,60.15,60.15,0.25,,,4635.0,,,30.0
2015-05-01,59.9,59.9,59.9,59.9,0.1,,,4625.0,,,15.0
2015-04-30,60.0,60.0,59.7,59.8,-0.15,,4.0,4622.0,,,35.0
2015-04-29,59.95,59.95,59.95,59.95,0.55,,,4552.0,,,130.0
2015-04-28,59.4,59.4,59.4,59.4,0.0,,,4517.0,,,100.0
2015-04-27,59.4,59.4,59.4,59.4,0.4,,,4521.0,,2.0,85.0
2015-04-24,59.65,59.65,59.65,59.65,0.05,,,5264.0,,,
2015-04-23,59.6,59.6,59.6,59.6,0.05,,,5264.0,,,
2015-04-22,59.55,59.55,59.55,59.55,-0.2,,,5264.0,,,
2015-04-21,59.75,59.75,59.75,59.75,-0.15,,,5264.0,,,
2015-04-20,59.9,59.9,59.9,59.9,-0.05,,,5274.0,,,10.0
2015-04-17,59.95,59.95,59.95,59.95,0.0,,,5295.0,,,25.0
2015-04-16,59.95,59.95,59.95,59.95,0.35,,,5244.0,,,101.0
2015-04-15,59.6,59.6,59.6,59.6,0.1,,,5249.0,,,55.0
2015-04-14,59.5,59.5,59.5,59.5,-0.1,,,5249.0,,,
2015-04-13,59.6,59.6,59.6,59.6,0.55,,,5260.0,,,35.0
2015-04-10,59.05,59.05,59.05,59.05,0.65,,,5255.0,,,35.0
2015-04-09,58.4,58.4,58.4,58.4,1.0,,,5115.0,,,355.0
2015-04-08,57.4,57.4,57.4,57.4,-0.25,,,5120.0,,,75.0
2015-04-07,57.65,57.65,57.65,57.65,-0.9,,,5090.0,,,40.0
2015-04-06,58.55,58.55,58.55,58.55,,,,5110.0,,,
2015-04-02,58.55,58.55,58.55,58.55,-0.15,,,5110.0,,,
2015-04-01,58.7,58.7,58.7,58.7,-0.15,,,5095.0,,,105.0
2015-03-31,58.85,58.85,58.85,58.85,-0.35,,,5060.0,,,70.0
2015-03-30,59.2,59.2,59.2,59.2,-0.2,,,5030.0,,,80.0
2015-03-27,61.05,61.05,61.05,61.05,0.15,,,4811.0,,,
2015-03-26,60.9,60.9,60.9,60.9,-0.1,,,4811.0,,,
2015-03-25,61.0,61.0,61.0,61.0,0.1,,,4811.0,,,
2015-03-24,60.9,60.9,60.9,60.9,0.0,,,4811.0,,,
2015-03-23,60.9,60.9,60.9,60.9,-0.05,,,4811.0,,,10.0
2015-03-20,60.95,60.95,60.95,60.95,-0.05,,,4811.0,,,
2015-03-19,61.0,61.0,61.0,61.0,-0.45,,,4811.0,,,
2015-03-18,61.45,61.45,61.45,61.45,0.1,,,4811.0,,,
2015-03-17,61.35,61.35,61.35,61.35,-0.15,,,4811.0,,,
2015-03-16,61.5,61.5,61.5,61.5,-0.45,,,4811.0,,,
2015-03-13,61.95,61.95,61.95,61.95,-0.15,,,4811.0,,,15.0
2015-03-12,62.1,62.1,62.1,62.1,0.0,,,4811.0,,,
2015-03-11,62.1,62.1,62.1,62.1,0.2,,,4811.0,,,25.0
2015-03-10,61.9,61.9,61.9,61.9,-0.05,,,4776.0,,,
2015-03-09,61.95,61.95,61.95,61.95,0.3,,,4766.0,,,
2015-03-06,61.65,61.65,61.65,61.65,-0.95,,,4801.0,,,20.0
2015-03-05,62.6,62.6,62.6,62.6,-0.2,,,4731.0,,,290.0
2015-03-04,62.8,62.8,62.8,62.8,0.45,,,4711.0,,,20.0
2015-03-03,62.35,62.35,62.35,62.35,-0.75,,,4709.0,,,10.0
2015-03-02,63.35,63.35,63.1,63.1,-0.5,,1.0,4634.0,,,115.0
2015-02-27,61.8,61.8,61.8,61.8,0.0,,,4734.0,,,
2015-02-26,61.8,61.8,61.8,61.8,0.2,,,4734.0,,,
2015-02-25,61.6,61.6,61.6,61.6,-0.15,,,4734.0,,,
2015-02-24,61.75,61.75,61.75,61.75,-0.3,,,4684.0,,,50.0
2015-02-23,62.05,62.05,62.05,62.05,-0.2,,,4666.0,,,37.0
2015-02-20,62.25,62.25,62.25,62.25,0.25,,,4661.0,,,20.0
2015-02-19,62.0,62.0,62.0,62.0,-0.45,,,4728.0,,,300.0
2015-02-18,62.45,62.45,62.45,62.45,0.0,,,4778.0,,,55.0
2015-02-17,62.45,62.45,62.45,62.45,-0.1,,,4773.0,,,15.0
2015-02-16,62.55,62.55,62.55,62.55,0.1,,,4788.0,,4.0,15.0
2015-02-13,62.45,62.45,62.45,62.45,-0.3,,,4798.0,,,10.0
2015-02-12,62.75,62.75,62.75,62.75,0.6,,,4793.0,,,10.0
2015-02-11,62.15,62.15,62.15,62.15,0.5,,,4778.0,,,30.0
2015-02-10,61.65,61.65,61.65,61.65,-0.1,,,4773.0,,,25.0
2015-02-09,61.75,61.75,61.75,61.75,0.5,,,4733.0,,,195.0
2015-02-06,61.25,61.25,61.25,61.25,0.45,,,4733.0,,,17.0
2015-02-05,60.8,60.8,60.8,60.8,2.05,,,4723.0,,,10.0
2015-02-04,58.75,58.75,58.75,58.75,0.15,,,4683.0,,,40.0
2015-02-03,58.6,58.6,58.6,58.6,0.9,,,4636.0,,,123.0
2015-02-02,57.7,57.7,57.7,57.7,0.55,,,4621.0,,,15.0
2015-01-30,58.8,58.8,58.8,58.8,-0.05,,,4656.0,,,
2015-01-29,58.85,58.85,58.85,58.85,0.1,,,4656.0,,,
2015-01-28,58.75,58.75,58.75,58.75,0.15,,,4656.0,,,
2015-01-27,58.6,58.6,58.6,58.6,0.05,,,4656.0,,,
2015-01-26,58.55,58.55,58.55,58.55,0.0,,,4656.0,,,6.0
2015-01-23,58.55,58.55,58.55,58.55,-0.05,,,4661.0,,,42.0
2015-01-22,58.6,58.6,58.6,58.6,-0.05,,,4661.0,,,
2015-01-21,58.65,58.65,58.65,58.65,0.55,,,4661.0,,,
2015-01-20,58.1,58.1,58.1,58.1,0.05,,,4656.0,,,5.0
2015-01-19,58.05,58.05,58.05,58.05,0.15,,,4651.0,,,5.0
2015-01-16,57.9,57.9,57.9,57.9,-0.3,,,4649.0,,,7.0
2015-01-15,58.2,58.2,58.2,58.2,-0.6,,,4659.0,,,15.0
2015-01-14,58.8,58.8,58.8,58.8,-0.85,,,4659.0,,,
2015-01-13,59.65,59.65,59.65,59.65,0.3,,,4659.0,,,50.0
2015-01-12,59.35,59.35,59.35,59.35,-0.75,,,4664.0,,,
2015-01-09,60.1,60.1,60.1,60.1,-0.5,,,4664.0,,,
2015-01-08,60.6,60.6,60.6,60.6,-0.25,,,4644.0,,,15.0
2015-01-07,60.85,60.85,60.85,60.85,-1.85,,,4529.0,,,115.0
2015-01-06,62.7,62.7,62.7,62.7,-1.05,,,4534.0,,,55.0
2015-01-05,63.75,63.75,63.75,63.75,-1.75,,,4604.0,,,
2015-01-02,65.5,65.5,65.5,65.5,,,,4604.0,,,
2014-12-31,66.75,66.75,66.75,66.75,-0.05,,,4609.0,,,
2014-12-30,66.8,66.8,66.8,66.8,-0.45,,,4604.0,,,
2014-12-29,67.25,67.25,67.25,67.25,-1.25,,,4599.0,,,77.0
2014-12-26,68.5,68.5,68.5,68.5,,,,4599.0,,,
2014-12-24,71.1,71.1,71.1,71.1,-0.05,,,4956.0,,,
2014-12-23,71.15,71.15,71.15,71.15,-0.15,,,4956.0,,,5.0
2014-12-22,71.3,71.3,71.3,71.3,0.05,,,4956.0,,,
2014-12-19,71.25,71.25,71.25,71.25,-0.05,,,4956.0,,,
2014-12-18,71.3,71.3,71.3,71.3,0.05,,,4910.0,,,80.0
2014-12-17,71.25,71.25,71.25,71.25,-0.05,,,4910.0,,,
2014-12-16,71.3,71.3,71.3,71.3,-0.25,,,4920.0,,,110.0
2014-12-15,71.55,71.55,71.55,71.55,0.05,,,4920.0,,,
2014-12-12,71.5,71.5,71.5,71.5,-0.35,,,4920.0,,,
2014-12-11,71.85,71.85,71.85,71.85,0.2,,,4920.0,,,
2014-12-10,71.65,71.65,71.65,71.65,-0.15,,,4970.0,,,50.0
