Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2011-01-17,133.55,133.55,133.55,133.55,-2.45,,,1345.0,,,
2011-01-14,136.0,136.0,136.0,136.0,-1.75,,,1345.0,,5.0,
2011-01-13,137.75,137.75,137.75,137.75,-0.25,,,1340.0,,,
2011-01-12,138.0,138.0,138.0,138.0,-0.75,,,1285.0,,35.0,
2011-01-11,138.75,138.75,138.75,138.75,-0.3,,,1290.0,,30.0,
2011-01-10,139.05,139.05,139.05,139.05,2.7,,,1260.0,,10.0,
2011-01-07,136.35,136.35,136.35,136.35,3.2,,,1265.0,,,
2011-01-06,133.15,133.15,133.15,133.15,2.5,,,1285.0,,,
2011-01-05,130.65,130.65,130.65,130.65,-6.65,,,1265.0,,80.0,
2011-01-04,137.3,137.3,137.3,137.3,0.8,,,1250.0,,15.0,
2011-01-03,122.65,122.65,122.65,122.65,0.0,,,1350.0,,,
2010-12-31,122.65,122.65,122.65,122.65,0.25,,,1360.0,,,
2010-12-30,122.4,122.4,122.4,122.4,0.65,,,1360.0,,,
2010-12-29,121.75,121.75,121.75,121.75,4.75,,,1360.0,,,
2010-12-28,117.0,117.0,117.0,117.0,0.0,,,1360.0,,,
2010-12-27,117.0,117.0,117.0,117.0,0.0,,,1360.0,,,
2010-12-24,117.0,117.0,117.0,117.0,-0.25,,,1360.0,,,
2010-12-23,117.25,117.25,117.25,117.25,-0.75,,,1360.0,,,
2010-12-22,118.0,118.0,118.0,118.0,1.9,,,1360.0,,,
2010-12-21,116.1,116.1,116.1,116.1,-0.15,,,1360.0,,,
2010-12-20,116.25,116.25,116.25,116.25,0.2,,,1360.0,,,
2010-12-17,116.05,116.05,116.05,116.05,0.4,,,1360.0,,,
2010-12-16,115.65,115.65,115.65,115.65,0.15,,,1360.0,,,
2010-12-15,115.5,115.5,115.5,115.5,-0.1,,,1360.0,,,
2010-12-14,115.6,115.6,115.6,115.6,-0.65,,,1360.0,,15.0,
2010-12-13,116.25,116.25,116.25,116.25,0.55,,,1360.0,,,
2010-12-10,115.7,115.7,115.7,115.7,1.45,,,1360.0,,,
2010-12-09,114.25,114.25,114.25,114.25,-0.5,,,1360.0,,,
2010-12-08,114.75,114.75,114.75,114.75,-0.3,,,1355.0,,10.0,
2010-12-07,115.05,115.05,115.05,115.05,-0.1,,,1355.0,,,
2010-12-06,115.15,115.15,115.15,115.15,0.8,,,1350.0,,15.0,
2010-12-03,114.35,114.35,114.35,114.35,1.0,,,1350.0,,,
2010-12-02,113.35,113.35,113.35,113.35,1.35,,,1335.0,,20.0,
2010-12-01,112.0,112.0,112.0,112.0,-0.3,,,1430.0,,110.0,
2010-11-30,112.3,112.3,112.3,112.3,-0.25,,,1425.0,,5.0,
2010-11-26,107.05,107.05,107.05,107.05,-1.2,,,1315.0,,,
2010-11-25,108.25,108.25,108.25,108.25,0.65,,,1315.0,,,
2010-11-24,107.6,107.6,107.6,107.6,-0.1,,,1300.0,,30.0,
2010-11-23,107.7,107.7,107.7,107.7,-0.45,,,1295.0,,45.0,
2010-11-22,108.15,108.15,108.15,108.15,-1.65,,,1295.0,,5.0,
2010-11-19,109.8,109.8,109.8,109.8,0.15,,,1295.0,,,
2010-11-18,109.65,109.65,109.65,109.65,0.3,,,1295.0,,,
2010-11-17,109.35,109.35,109.35,109.35,-1.65,,,1295.0,,,
2010-11-16,111.0,111.0,111.0,111.0,-1.75,,,1295.0,,,
2010-11-15,112.75,112.75,112.75,112.75,2.65,,,1295.0,,,
2010-11-12,110.1,110.1,110.1,110.1,2.35,,,1295.0,,,
2010-11-11,107.75,107.75,107.75,107.75,1.1,,,1295.0,,,
2010-11-10,106.65,106.65,106.65,106.65,1.0,,,1290.0,,30.0,
2010-11-09,105.65,105.65,105.65,105.65,-0.1,,,1255.0,,35.0,
2010-11-08,105.75,105.75,105.75,105.75,-0.35,,,1195.0,,60.0,
2010-11-05,106.1,106.1,106.1,106.1,-0.25,,,1195.0,,,
2010-11-04,106.35,106.35,106.35,106.35,-0.05,,,1195.0,,,
2010-11-03,106.4,106.4,106.4,106.4,0.15,,,1155.0,,40.0,
2010-11-02,106.25,106.25,106.25,106.25,0.6,,,1150.0,,5.0,
2010-10-29,97.4,97.4,97.4,97.4,-0.25,,,1350.0,,,
2010-10-28,97.65,97.65,97.65,97.65,-0.25,,,1340.0,,,
2010-10-27,97.9,97.9,97.9,97.9,0.4,,,1340.0,,,
2010-10-26,97.5,97.5,97.5,97.5,-0.55,,,1340.0,,,
2010-10-25,98.05,98.05,98.05,98.05,0.35,,,1335.0,,,
2010-10-22,97.7,97.7,97.7,97.7,0.2,,,1330.0,,,
2010-10-21,97.5,97.5,97.5,97.5,-0.4,,,1325.0,,,
2010-10-20,97.9,97.9,97.9,97.9,0.45,,,1325.0,,,
2010-10-19,97.45,97.45,97.45,97.45,0.45,,,1325.0,,,
2010-10-18,97.0,97.0,97.0,97.0,-0.05,,,1325.0,,,
2010-10-15,97.05,97.05,97.05,97.05,0.22,,,1350.0,,,
2010-10-14,96.83,96.83,96.83,96.83,0.64,,,1340.0,,,
2010-10-13,96.19,96.19,96.19,96.19,0.83,,,1335.0,,,
2010-10-12,95.36,95.36,95.36,95.36,-0.37,,,1325.0,,,
2010-10-11,95.73,95.73,95.73,95.73,0.42,,,1305.0,,15.0,
2010-10-08,95.31,95.31,95.31,95.31,-0.31,,,1305.0,,,
2010-10-07,95.62,95.62,95.62,95.62,-0.01,,,1305.0,,,
2010-10-06,95.63,95.63,95.63,95.63,0.5,,,1285.0,,,
2010-10-05,95.13,95.13,95.13,95.13,-0.3,,,1285.0,,,
2010-10-04,95.43,95.43,95.43,95.43,-0.62,,,1285.0,,,
2010-10-01,96.05,96.05,96.05,96.05,0.11,,,1285.0,,,
2010-09-30,95.94,95.94,95.94,95.94,0.3,,,1285.0,,,
2010-09-29,95.64,95.64,95.64,95.64,0.37,,,1290.0,,,
2010-09-28,95.27,95.27,95.27,95.27,0.07,,,1285.0,,,
2010-09-24,94.75,94.75,94.75,94.75,0.32,,,1260.0,,,
2010-09-23,94.43,94.43,94.43,94.43,-0.04,,,1260.0,,,
2010-09-22,94.47,94.47,94.47,94.47,-0.05,,,1260.0,,,
2010-09-21,94.52,94.52,94.52,94.52,0.1,,,1260.0,,,
2010-09-20,94.42,94.42,94.42,94.42,-0.16,,,1260.0,,,
2010-09-17,94.58,94.58,94.58,94.58,0.16,,,1260.0,,,
2010-09-16,94.42,94.42,94.42,94.42,0.59,,,1260.0,,,
2010-09-15,93.83,93.83,93.83,93.83,-0.25,,,1260.0,,,
2010-09-14,94.08,94.08,94.08,94.08,0.08,,,1260.0,,,
2010-09-13,94.0,94.0,94.0,94.0,0.75,,,1260.0,,,
2010-09-10,93.25,93.25,93.25,93.25,0.08,,,1260.0,,,
2010-09-09,93.17,93.17,93.17,93.17,-0.33,,,1260.0,,5.0,
2010-09-08,93.5,93.5,93.5,93.5,-0.38,,,1260.0,,50.0,
2010-09-07,93.88,93.88,93.88,93.88,-0.17,,,1260.0,,,
2010-09-06,94.05,94.05,94.05,94.05,-0.08,,,1260.0,,,
2010-09-03,94.13,94.13,94.13,94.13,0.13,,,1260.0,,,
2010-09-02,94.0,94.0,94.0,94.0,-0.1,,,1260.0,,,
2010-09-01,94.1,94.1,94.1,94.1,-0.05,,,1285.0,,10.0,
2010-08-31,94.15,94.15,94.15,94.15,-0.05,,,1250.0,,40.0,
2010-08-30,90.4,90.4,90.4,90.4,0.0,,,0.0,,,
2010-08-27,90.4,90.4,90.4,90.4,0.65,,,1040.0,,,
2010-08-26,89.75,89.75,89.75,89.75,0.1,,,1040.0,,,
